,national park,Area in hectares
0,Cilento e Vallo di Diano,178172
1,Pollino,171132
2,Gran Sasso e Monti della Laga,141341
3,Stelvio,130734
4,Gargano,118144
5,Gennargentu e Golfo di Orosei,73935
6,Arcipelago Toscano*,73762
7,Sila,73695
8,Gran Paradiso,71043
9,Monti Sibillini,69722
10,Appennino Lucano,68996
11,Alta Murgia,68033
12,Aspromonte,64153
13,Majella,62838
14,"Abruzzo, Lazio e Molise",49680
15,"Foreste Casentinesi, Monte Falterona, Campigna",31038
16,Appennino Tosco-Emiliano,26148
17,Arcipelago de La Maddalena**,20146
18,Dolomiti Bellunesi,15030
19,Val Grande,11340
20,Vesuvio,7259
21,Circeo,5616
22,Asinara***,5170
23,Cinque terre,3860
