,Year,Fertility rate
0,2020,1.85
1,2015,1.9
2,2010,1.89
3,2005,1.67
4,2000,1.56
5,1995,2.01
6,1990,1.91
7,1985,1.64
8,1980,1.66
9,1975,1.91
10,1970,2.17
11,1965,2.31
12,1960,2.25
13,1955,2.24
14,1950,2.43
15,1945,2.32
16,1940,1.79
17,1935,1.74
18,1930,2.03
19,1925,2.55
20,1920,2.89
21,1915,3.26
22,1910,3.67
23,1905,3.84
24,1900,3.96
25,1895,4.0
26,1890,4.25
27,1885,4.32
28,1880,4.51
29,1875,4.47
30,1870,4.23
31,1865,4.59
32,1860,4.53
33,1855,4.33
34,1850,4.37
35,1845,4.43
36,1840,4.34
37,1835,4.59
38,1830,4.75
39,1825,5.08
40,1820,4.78
41,1815,4.67
42,1810,4.31
43,1805,4.45
44,1800,4.07
