,Year,GDP per capita in U.S. dollars
0,2024*,971.08
1,2023*,934.97
2,2022*,905.29
3,2021*,869.32
4,2020*,847.16
5,2019*,859.95
6,2018*,1434.06
7,2017*,1516.28
8,2016*,1409.45
9,2015*,1425.01
10,2014*,1415.03
11,2013*,1421.55
12,2012,1310.37
13,2011,1131.84
14,2010,975.85
15,2009,790.35
16,2008,553.38
17,2007,646.56
18,2006,677.88
19,2005,764.63
20,2004,806.9
21,2003,822.47
22,2002,922.88
23,2001,964.08
24,2000,969.82
25,1999,1003.83
26,1998,1029.2
27,1997,881.22
28,1996,849.88
29,1995,717.09
30,1994,714.03
