,Footballer Names,Goals scored
0,Cristiano Ronaldo,128
1,Lionel Messi,114
2,Raúl Gonzalez,71
3,Karim Benzema,64
4,Robert Lewandowski,63
5,Ruud van Nistelrooy,60
6,Andriy Shevchenko,59
7,Thierry Henry,51
8,Filippo Inzaghi,50
9,Alfredo Di Stefano,49
10,Zlatan Ibrahimovic,49
11,Eusébio,47
12,Sergio Agüero,45
13,Didier Drogba,44
14,Thomas Müller,43
15,Alessandro Del Piero,43
16,Fernando Morientes,39
17,Ferenc Puskás,35
18,Gerd Müller,34
19,Wayne Rooney,34
20,Edinson Cavani,34
21,Samuel Eto'o,33
22,Francisco Gento,32
23,David Trezeguet,32
24,Neymar,32
25,Arjen Robben,32
26,Serhiy Rebrov,31
27,Rivaldo,31
28,Patrick Kluivert,30
29,Ryan Giggs,30
30,Kaka,30
31,Steven Gerrard,30
