,Year,"Deaths per 1,000 live births"
0,2020,2.0
1,2015,2.0
2,2010,3.0
3,2005,3.0
4,2000,4.0
5,1995,5.0
6,1990,6.0
7,1985,7.0
8,1980,8.0
9,1975,10.0
10,1970,12.0
11,1965,15.0
12,1960,17.0
13,1955,19.0
14,1950,24.02
15,1945,31.2
16,1940,42.0
17,1935,50.2
18,1930,57.8
19,1925,59.8
20,1920,66.6
21,1915,72.4
22,1910,78.0
23,1905,90.8
24,1900,100.8
25,1895,102.8
26,1890,104.8
27,1885,116.2
28,1880,126.4
29,1875,133.4
30,1870,142.6
31,1865,136.2
32,1860,144.0
33,1855,149.4
34,1850,153.0
35,1845,154.0
36,1840,166.8
37,1835,168.0
38,1830,175.6
39,1825,159.2
40,1820,175.6
41,1815,192.2
42,1810,212.6
43,1805,186.2
44,1800,240.0
