,Cryptocurrency exchanger,Billion U.S. dollars
0,Binance,22.55
1,Binance.KR,19.81
2,EtherFlyer,12.82
3,Huobi Global,10.34
4,HBTC,9.74
5,Dsdaq,9.09
6,VCC Exchange,8.73
7,Hydax Exchange,8.68
8,WBF Exchange,8.5
9,Xtheta Global,8.38
10,Mexo Exchange,8.29
11,Bidesk,8.21
12,BitZ,8.14
13,ZG.com,8.14
14,CITEX,6.59
15,Bitribe,6.54
16,RightBTC,6.53
17,CoinBene,5.82
18,OKEx,5.43
19,Coinbase Pro,5.32
20,HitBTC,4.63
21,LBank,4.52
22,Changelly PRO,4.42
23,Bitcoin.com Exchange,4.22
24,ZB.COM,3.95
25,Coineal,3.49
26,Coinsbit,3.24
27,Upbit,3.09
28,Bitfinex,2.77
29,UPEX,2.59
30,BiONE,2.39
31,Ecxx,2.38
32,DigiFinex,2.34
33,Bithumb,1.93
34,Bitstamp,1.82
35,BitAsset,1.79
36,Kraken,1.78
37,IDCM,1.58
38,IndoEx,1.41
39,BKEX,1.32
40,Bitfront,1.28
41,Hotcoin Global,1.26
42,MXC.COM,1.26
43,Coinbit,1.24
44,EXX,1.23
45,P2PB2B,1.19
46,Omgfin,1.07
47,Bitrue,1.06
48,BiKi,1.05
49,Bitget,1.04
50,Sistemkoin,0.94
51,Biconomy,0.94
52,ZBG,0.93
53,Dcoin,0.93
54,BTC-Alpha,0.92
55,BW.com,0.77
56,BtcTurk | Pro,0.74
57,Liquid,0.68
58,FTX,0.68
59,TOPBTC,0.67
60,Bibox,0.66
61,Folgory,0.66
62,bitFlyer,0.65
63,KuCoin,0.64
64,DragonEX,0.63
65,Coinone,0.62
66,Gate.io,0.61
67,BitForex,0.6
68,Hoo,0.58
69,Bitbank,0.57
70,BitWell,0.55
71,BitMax,0.55
72,LongBit,0.53
73,HCoin,0.46
74,eToroX,0.46
75,LOEx,0.44
76,Cryptonex,0.44
77,PayBito,0.43
78,Hotbit,0.41
79,Binance.US,0.41
80,WhiteBIT,0.4
81,BitMart,0.4
82,XT,0.38
83,Coincheck,0.36
84,AAX,0.36
85,BigONE,0.36
86,LocalTrade,0.35
87,VinDAX,0.34
88,Gemini,0.33
89,FarhadMarket,0.32
90,Bittrex,0.3
91,Poloniex,0.3
92,Crypto.com Exchange,0.3
93,CBX,0.29
94,Oasis Exchange,0.28
95,CoinsBank,0.26
96,Bilaxy,0.25
97,Bitvast,0.25
98,Thodex,0.25
99,ExMarkets,0.24
