,Year,Gross domestic product in billion U.S. dollars
0,2024*,891.27
1,2023*,852.44
2,2022*,816.37
3,2021*,782.01
4,2020*,749.42
5,2019*,715.36
6,2018*,705.55
7,2017,680.03
8,2016,671.4
9,2015,679.73
10,2014,709.48
11,2013,688.75
12,2012,667.89
13,2011,699.67
14,2010,583.05
15,2009,541.62
16,2008,553.84
17,2007,480.27
18,2006,431.14
19,2005,408.68
20,2004,393.58
21,2003,353.15
22,2002,301.52
23,2001,278.68
24,2000,272.19
25,1999,289.54
26,1998,294.82
27,1997,286.57
28,1996,330.25
29,1995,342.76
30,1994,292.68
31,1993,264.18
32,1992,271.58
33,1991,261.2
34,1990,258.02
35,1989,202.21
36,1988,209.37
37,1987,193.38
38,1986,154.45
39,1985,107.78
40,1984,106.27
