,Year,Inflation rate compared to previous year
0,2024*,8%
1,2023*,8%
2,2022*,8%
3,2021*,9.29%
4,2020*,12.68%
5,2019*,14.6%
6,2018,13.83%
7,2017,10.69%
8,2016,6.63%
9,2015,9.57%
10,2014,7.4%
11,2013,8.07%
12,2012,24.13%
13,2011,33.23%
14,2010,8.13%
15,2009,8.48%
16,2008,44.37%
17,2007,17.25%
18,2006,13.56%
19,2005,11.66%
20,2004,3.22%
21,2003,17.76%
22,2002,1.65%
23,2001,-8.24%
24,2000,0.66%
25,1999,7.94%
26,1998,3.6%
27,1997,-6.42%
28,1996,0.92%
29,1995,13.35%
30,1994,1.17%
31,1993,9.99%
32,1992,21.02%
33,1991,20.87%
34,1990,5.21%
35,1989,9.63%
36,1988,2.21%
37,1987,-9.15%
38,1986,5.55%
39,1985,18.4%
40,1984,-0.33%
