,Country,Optometrists,Opticians
0,Spain,100%,-
1,Norway,100%,-
2,Finland,100%,-
3,Sweden,100%,-
4,Estonia,90%,10%
5,Denmark,90%,10%
6,Ireland,82%,18%
7,Latvia,71%,29%
8,Romania,71%,29%
9,United Kingdom,69%,31%
10,Greece,67%,33%
11,Germany,45%,55%
12,Portugal,40%,60%
13,Czech Republic,38%,62%
14,Austria,37%,63%
15,Slovakia,32%,68%
16,Hungary,28%,72%
17,Switzerland,27%,73%
18,Poland,25%,75%
19,Netherlands,22%,78%
20,Croatia,19%,81%
21,Cyprus,15%,85%
22,Italy,14%,86%
23,Belgium,10%,90%
24,Serbia,9%,91%
25,France,8%,92%
26,Bulgaria,6%,94%
27,Slovenia,5%,95%
28,Ukraine,0%,100%
