,Response,Share of respondents
0,Get exercise,61%
1,Keep physically fit,45%
2,Be with family and friends,39%
3,Observe scenic beauty,33%
4,Be close to nature,32%
5,Enjoy the sounds and smells of nature,31%
6,Be with people who enjoy the same things I do,29%
7,Get away from the usual demands,29%
8,Experience excitement and adventure,26%
9,Because it is cool,22%
10,Develop my skills and abilities,21%
11,Be with people who share my values,19%
12,Experience solitude,18%
13,Gain a sense of accomplishment,18%
14,Gain a sense of self-confidence,16%
15,Talk to new and varied people,15%
16,Other reason(s),3%
