,Year,Cumulative number of COVID-19 tests
0,30 July,53825445
1,29 July,52985577
2,28 July,52252334
3,27 July,51491494
4,26 July,50635683
5,25 July,49838094
6,24 July,48794970
7,23 July,48020777
8,22 July,46469524
9,21 July,46469524
10,20 July,45734327
11,19 July,44965504
12,18 July,44203733
13,17 July,43351945
14,16 July,42521027
15,15 July,41764557
16,14 July,41004275
17,13 July,40282176
18,12 July,39553395
19,11 July,38919421
20,10 July,38032966
21,9 July,37431666
22,8 July,36878106
23,7 July,36225015
24,6 July,35513937
25,5 July,35512916
26,4 July,34213497
27,3 July,33462181
28,2 July,32827359
29,1 July,32206245
30,30 June,31557407
31,29 June,30988013
32,28 June,30401644
33,27 June,29810767
34,26 June,29207820
35,25 June,28567355
36,24 June,28065065
37,23 June,27553581
38,22 June,27084900
39,21 June,26566553
40,20 June,25982613
41,19 June,25403498
42,18 June,24937877
43,17 June,24449307
44,16 June,23984592
45,15 June,23535104
46,14 June,23040304
47,13 June,22517262
48,12 June,21933301
49,11 June,21467820
50,10 June,21048183
51,9 June,20615303
52,8 June,20235678
53,7 June,19778873
54,6 June,19231444
55,5 June,18680529
56,4 June,18214950
57,3 June,17757838
58,2 June,17340682
59,1 June,16936891
60,31 May,16495443
61,30 May,16099515
62,29 May,15646041
63,28 May,15192481
64,27 May,14907041
65,26 May,14604942
66,25 May,14163915
67,24 May,13784786
68,23 May,13398624
69,22 May,13056206
70,21 May,12647791
71,20 May,12233987
72,19 May,11834508
73,18 May,11499203
74,17 May,11077179
75,16 May,10720185
76,15 May,10341775
77,14 May,9974831
78,13 May,9637930
79,12 May,9382235
80,11 May,8987524
81,10 May,8987524
82,9 May,8709630
83,8 May,8105513
84,7 May,7759771
85,6 May,7544328
86,5 May,7285178
87,4 May,7123222
88,3 May,6816347
89,2 May,6551810
90,1 May,6322198
91,30 April,6231182
92,29 April,6231182
93,28 April,6231182
94,27 April,5795728
95,26 April,5593495
96,25 April,5184635
97,24 April,4883802
98,23 April,4493106
99,22 April,4163464
100,21 April,4035860
101,20 April,3893815
102,19 April,3723634
103,18 April,3574392
104,17 April,3423034
105,16 April,3262921
106,15 April,3138413
107,14 April,2973208
108,13 April,2821149
109,12 April,2688766
110,11 April,2544935
111,10 April,2383592
112,09 April,2233925
113,08 April,2079943
114,07 April,1951044
115,06 April,1785406
116,05 April,1644200
117,04 April,1438455
118,03 April,1290619
119,02 April,1267541
120,01 April,1064506
121,31 March,1048971
122,30 March,856546
123,29 March,766761
124,28 March,672449
125,27 March,540718
126,26 March,484062
127,25 March,418810
128,24 March,357907
129,23 March,238632
130,22 March,191541
131,21 March,150613
132,20 March,135185
133,19 March,96262
134,18 March,31878
135,17 March,31978
136,16 March,31878
137,15 March,31873
138,14 March,31633
139,13 March,29970
140,12 March,26235
141,11 March,22338
142,10 March,19007
143,09 March,16051
144,08 March,13192
145,07 March,11678
146,06 March,10145
147,05 March,8399
148,04 March,6811
149,03 March,5652
150,02 March,4833
151,01 March,4220
