,Country,Average player height in centimeters
0,Serbia,185.6
1,Sweden,185.2
2,Iceland,185.0
3,Denmark,185.0
4,Croatia,184.9
5,Russia,184.3
6,Tunisia,184.0
7,Germany,183.8
8,Belgium,183.8
9,Senegal,183.7
10,Switzerland,183.5
11,Iran,183.4
12,Poland,183.1
13,Morocco,182.4
14,South Korea,182.2
15,England,182.1
16,Costa Rica,181.6
17,Australia,181.3
18,Nigeria,181.2
19,Panama,181.1
20,Portugal,180.5
21,France,180.5
22,Brazil,180.4
23,Colombia,180.2
24,Egypt,180.1
25,Uruguay,179.8
26,Mexico,179.5
27,Spain,179.5
28,Argentina,179.4
29,Peru,178.3
30,Japan,178.1
31,Saudi Arabia,176.2
