,State,Number of fires,Number of acres burned
0,Alabama,1107,22158
1,Alaska,720,2498159
2,Arizona,1869,384942
3,Arkansas,660,8602
4,California,8194,259148
5,Colorado,857,40392
6,Connecticut,88,72
7,Delaware,0,0
8,Florida,2121,122500
9,Georgia,3158,12407
10,Hawaii,155,10710
11,Idaho,960,284026
12,Illinois,2,41
13,Indiana,38,523
14,Iowa,153,2020
15,Kansas,19,21167
16,Kentucky,755,11714
17,Louisiana,361,3059
18,Maine,355,142
19,Maryland,140,1498
20,Massachusetts,289,248
21,Michigan,361,1128
22,Minnesota,1021,5862
23,Mississippi,959,5473
24,Missouri,67,5091
25,Montana,1474,64835
26,Nebraska,15,9478
27,Nevada,562,82282
28,New Hampshire,16,25
29,New Jersey,727,11346
30,New Mexico,859,79887
31,New York,79,221
32,North Carolina,3872,14548
33,North Dakota,488,4454
34,Ohio,498,1038
35,Oklahoma,1104,67142
36,Oregon,2293,79732
37,Pennsylvania,547,691
38,Rhode Island,45,33
39,South Carolina,992,5939
40,South Dakota,346,2261
41,Tennessee,571,5478
42,Texas,6892,215493
43,Utah,1025,92380
44,Vermont,19,22
45,Virginia,364,2643
46,Washington,1394,169742
47,West Virginia,593,7653
48,Wisconsin,710,1198
49,Wyoming,486,41857
