,type,Import value in billion Indian rupees
0,Organic chemicals,996.72
1,Residual chemicals and allied products,527.8
2,Manufactured fertilizers,462.67
3,Inorganic chemicals,394.87
4,Drugs and drug intemediates in bulk,248.5
5,"Drug formulations, biologicals",141.26
6,"Paint, varnish and allied products",130.27
7,Cosmetics and toiletries,112.49
8,Agro chemicals,92.67
9,Dye intermediates,69.95
10,Crude fertilizers,58.28
11,Other chemicals,58.22
12,Dyes,25.07
13,"Graphite, explosives and accessories",11.52
14,Essential oils,10.47
