,Year,Average age in years
0,2018,30.5
1,2017,30.3
2,2016,30.3
3,2015,30.2
4,2014,30.2
5,2013,30.0
6,2012,30.0
7,2011,30.0
8,2010,29.9
9,2009,29.9
10,2008,30.0
11,2007,30.1
12,2006,30.3
13,2005,30.4
14,2004,30.3
15,2003,30.2
16,2002,30.1
17,2001,29.8
18,2000,29.7
19,1999,29.5
20,1998,29.3
21,1997,29.1
22,1996,28.8
23,1995,28.6
24,1994,28.5
25,1993,28.3
26,1992,28.2
27,1991,27.9
28,1990,27.7
29,1989,27.4
30,1988,27.3
31,1987,27.0
32,1986,26.8
33,1985,26.6
34,1984,26.4
35,1983,26.2
36,1982,26.0
37,1981,25.8
38,1980,25.7
