,Year,GDP per capita in U.S. dollars
0,2025*,67498.93
1,2024*,64420.24
2,2023*,61365.15
3,2022*,58955.88
4,2021*,55417.22
5,2020*,52751.11
6,2019*,62918.85
7,2018,66421.62
8,2017,59127.49
9,2016,57965.39
10,2015,66346.96
11,2014,93054.14
12,2013,99180.39
13,2012,101933.12
14,2011,96827.86
15,2010,72953.44
16,2009,59683.14
17,2008,74189.29
18,2007,69166.96
19,2006,62920.65
20,2005,54228.83
21,2004,44051.66
22,2003,35644.41
23,2002,30748.54
24,2001,28666.61
25,2000,29914.27
26,1999,21660.45
27,1998,18633.92
28,1997,21337.1
29,1996,17677.59
30,1995,16238.35
31,1994,14894.69
32,1993,14546.04
33,1992,15616.95
34,1991,14189.04
35,1990,15446.33
36,1989,12967.63
37,1988,12749.1
38,1987,13828.96
39,1986,13677.7
40,1985,18201.42
