,Year,GDP per capita in U.S. dollars
0,2025*,14765.67
1,2024*,13911.19
2,2023*,13084.08
3,2022*,12205.5
4,2021*,11378.44
5,2020*,10192.46
6,2019,11193.02
7,2018,11077.43
8,2017,9965.12
9,2016,9523.3
10,2015,9663.11
11,2014,11165.26
12,2013,10699.66
13,2012,10655.46
14,2011,10252.59
15,2010,8920.48
16,2009,7439.44
17,2008,8646.57
18,2007,7378.59
19,2006,6264.42
20,2005,5599.05
21,2004,5171.42
22,2003,4673.91
23,2002,4379.64
24,2001,4130.38
25,2000,4286.83
26,1999,3710.07
27,1998,3470.47
28,1997,4941.36
29,1996,5103.04
30,1995,4612.5
31,1994,3971.09
32,1993,3664.87
33,1992,3331.39
34,1991,2844.9
35,1990,2549.61
36,1989,2347.18
37,1988,2182.86
38,1987,2041.02
39,1986,1837.93
40,1985,2124.29
