,Response,Share of 2019 OE
0,Mississippi,111.7%
1,Iowa,110.9%
2,Florida,107.3%
3,Delaware,106.2%
4,Massachusetts,105.9%
5,Oklahoma,105.2%
6,Nebraska,103.9%
7,Minnesota,103.5%
8,Utah,102.9%
9,Texas,102.7%
10,California,101.6%
11,Maryland,101.3%
12,Georgia,101.2%
13,South Dakota,100.9%
14,North Carolina,100.8%
15,Rhode Island,100.5%
16,New York,100.4%
17,New Hampshire,99.6%
18,South Carolina,99.6%
19,Hawaii,99.4%
20,Alaska,99.4%
21,North Dakota,99.3%
22,Wyoming,98.9%
23,Vermont,98.3%
24,Kentucky,98.2%
25,Oregon,98%
26,Colorado,98%
27,Connecticut,97.1%
28,Montana,96.6%
29,Alabama,96.6%
30,New Jersey,96.5%
31,Washington,96.3%
32,District of Columbia,95.9%
33,Michigan,95.9%
34,Arkansas,95.5%
35,Arizona,95.4%
36,Kansas,95.4%
37,Wisconsin,95.3%
38,Ohio,95.1%
39,Indiana,95%
40,New Mexico,94.9%
41,Louisiana,94.4%
42,Illinois,93.8%
43,Nevada,92.8%
44,Missouri,92%
45,Tennessee,90.5%
46,Pennsylvania,90.1%
47,West Virginia,88.8%
48,Maine,87.4%
49,Idaho,83.1%
50,Virginia,82.2%
51,United States,99.7%
