,Spending area,Public expenditure in million euros
0,Tax repayments and abatement,104830
1,Education,74015
2,Defense,46076
3,State's financial commitments,38504
4,Research and higher education,28664
5,"Solidarity, readaptation and equal opportunities",26282
6,Security,20485
7,Territories' cohesion,15154
8,Environment and sustainable development and mobilities,13246
9,Work and employment,12985
10,Public finances and human resources management,10444
11,Justice,9389
12,Pension and social plans,6228
13,General and territorial state administration,3970
14,Relations with local and regional authorities,3468
15,Public development aid,3268
16,Culture,2961
17,"Agriculture, fishing, food, forests and rural affairs",2942
18,State's foreign action,2863
19,Overseas,2373
20,Economy,2357
21,"Veterans, memory and links with the nation",2160
22,Investments for the future,2057
23,"Immigration, asylum and integration",1812
24,"Sports, youth and voluntary sector",1217
25,Health,1128
26,Public authorities,994
27,Government action supervision,791
28,State's council and control,705
29,"Media, book and culture industry",587
30,Public action and transformation,435
31,Provisions,140
