,Year,"Deaths per 1,000 live births"
0,2020,3.0
1,2015,4.0
2,2010,5.0
3,2005,5.0
4,2000,6.0
5,1995,9.0
6,1990,11.0
7,1985,13.0
8,1980,16.0
9,1975,21.0
10,1970,26.0
11,1965,31.0
12,1960,39.0
13,1955,51.0
14,1950,72.54
15,1945,104.98
16,1940,103.41
17,1935,108.0
18,1930,129.63
19,1925,136.74
20,1920,191.86
21,1915,195.1
22,1910,199.16
23,1905,207.83
24,1900,225.31
25,1895,249.06
26,1890,250.61
27,1885,238.02
28,1880,250.31
29,1875,280.64
30,1870,277.62
31,1865,283.81
32,1860,271.57
33,1855,271.82
34,1850,280.75
35,1845,271.03
36,1840,297.51
37,1835,305.08
38,1830,317.01
39,1825,320.06
40,1820,320.87
41,1815,321.31
42,1810,321.53
43,1805,322.4
44,1800,322.4
