,Response,Share of respondents
0,Saving money,60%
1,Waiting for time to visit properly,38%
2,Price of flights,30%
3,Currency exchange rates,16%
4,Finding the right people to go with,16%
5,Terrorism activity,14%
6,Waiting for a different life stage,13%
7,Political situation,12%
8,Transport connections,12%
9,Waiting for my children to be older,10%
10,Waiting until I am fitter,10%
11,Waiting for a particular event,10%
12,Health scares,9%
13,Waiting until I have learned the language,8%
14,Extreme weather patterns,8%
15,Waiting until I have learned/improved a skill,6%
16,Natural disasters,6%
