,player,Payroll in thousand U.S. dollars
0,Tim  Howard,2475.0
1,Kei Kamara,750.0
2,Kellyn  Acosta,665.0
3,Tommy Smith,640.0
4,Danny  Wilson,540.0
5,Jack  Price,437.5
6,Diego Rubio Kostner,353.75
7,Sam  Nicholson,342.07
8,Nicolas  Mezquida,320.0
9,Johan  Blomberg,250.96
10,Axel  Sjoberg,180.0
11,Keegan  Rosenberry,164.94
12,Lalas  Abubakar,144.94
13,Clint  Irwin,138.71
14,Jonathan  Lewis,137.5
15,Dillon  Serna,120.0
16,Matt  Hundley,99.0
17,Andre  Shinyashiki,95.0
18,Kortne  Ford,92.5
19,Cole Bassett,84.0
20,Sam  Vines,81.25
21,Sebastian  Anderson,80.92
22,Deklan  Wynne,74.25
23,Andre  Rawls,72.36
24,Kofi  Opare,70.25
25,Sam  Raben,70.25
26,Abdul  Rwatubyaye,62.63
27,Niki  Jackson,57.23
