,State,Percent change from preceding period
0,Washington,6%
1,Utah,5.8%
2,South Carolina,5.3%
3,Florida,5.2%
4,Arizona,5.1%
5,Idaho,5%
6,Colorado,5%
7,New Hampshire,4.9%
8,Oregon,4.9%
9,Nevada,4.9%
10,Rhode Island,4.9%
11,California,4.7%
12,Vermont,4.6%
13,Massachusetts,4.6%
14,Tennessee,4.4%
15,Texas,4.4%
16,North Carolina,4.3%
17,Alabama,4.2%
18,Missouri,4.1%
19,United States,4.1%
20,Georgia,4.1%
21,Maine,4.1%
22,Virginia,4%
23,District of Columbia,3.9%
24,Pennsylvania,3.9%
25,Maryland,3.8%
26,New York,3.8%
27,New Mexico,3.7%
28,Hawaii,3.7%
29,New Jersey,3.7%
30,Illinois,3.7%
31,Montana,3.7%
32,Arkansas,3.7%
33,Connecticut,3.6%
34,Mississippi,3.4%
35,Ohio,3.3%
36,Wisconsin,3.3%
37,Minnesota,3.3%
38,Kentucky,3.2%
39,Kansas,2.9%
40,Indiana,2.8%
41,Michigan,2.7%
42,Iowa,2.7%
43,Louisiana,2.6%
44,Delaware,2.6%
45,South Dakota,2.5%
46,Nebraska,2.5%
47,Oklahoma,1.7%
48,North Dakota,1.7%
49,Wyoming,1.3%
50,Alaska,1.2%
51,West Virginia,1%
