,State,Number of cases per worker
0,Missouri,176
1,Iowa,167
2,Utah,166
3,Indiana,144
4,New Hampshire,138
5,New Mexico,128
6,Oregon,124
7,Massachusetts,120
8,Rhode Island,114
9,Arizona,113
10,Nebraska,108
11,Illinois,101
12,West Virginia,90
13,Louisiana,88
14,Kansas,88
15,Idaho,87
16,Washington,80
17,Nevada,75
18,Arkansas,74
19,National average,72
20,Maine,71
21,Michigan,69
22,Tennessee,67
23,Minnesota,63
24,Hawaii,62
25,Vermont,61
26,Virginia,59
27,Alaska,59
28,Oklahoma,58
29,North Carolina,57
30,Alabama,57
31,District of Columbia,56
32,Texas,53
33,Montana,53
34,Connecticut,50
35,Kentucky,49
36,South Dakota,48
37,New Jersey,45
38,Delaware,45
39,Mississippi,36
40,Puerto Rico,22
