,Football player,Payroll in thousand U.S. dollars
0,Maxi Moralez,2000.0
1,Alexander Ring,945.0
2,Jesus Medina,870.83
3,Heber Araujo dos Santos,788.75
4,Alexander Callens,664.0
5,Maxime Chanot,650.0
6,Anton Tinnerholm,546.8
7,Alexandru Mitrita,500.0
8,Ronald Matarrita,420.0
9,Sean Johnson,400.0
10,Ebenezer Ofori,400.0
11,Ismael Tajouri,380.5
12,Gary  Mackay-Steven,274.81
13,Valentin Castellanos,274.81
14,Ben  Sweat,200.0
15,Keaton Parks,165.0
16,Eric  Miller,124.42
17,James  Sands,105.0
18,Brad  Stuver,100.0
19,Juan Pablo  Torres,84.75
20,Joe  Scally,78.07
21,Sebastien  Ibeagha,74.25
22,Tony  Rocha,72.35
23,Daniel  Bedoya,70.25
24,Jeff  Caldwell,57.23
25,Luis  Barraza,56.25
26,Justin  Haak,56.25
27,Abdi  Mohamed,56.25
