,Month,Percentage change**
0,Apr 20,83.2%
1,Mar 20,19.7%
2,Feb 20,0.9%
3,Jan 20,1.3%
4,Dec 19,-6.8%
5,Nov 19,-1.5%
6,Oct 19,1.9%
7,Sep 19,7.1%
8,Aug 19,7.3%
9,Jul 19,-0.3%
10,Jun 19,-6.1%
11,May 19,-5%
12,Apr 19,0.3%
13,Mar 19,-1.1%
14,Feb 19,0.1%
15,Jan 19,3.5%
16,Dec 18,2.4%
17,Nov 18,3%
18,Oct 18,3.1%
19,Sep 18,2.9%
20,Aug 18,5.5%
21,Jul 18,10.1%
22,Jun 18,15.5%
23,May 18,17.7%
24,Apr 18,11.2%
25,Mar 18,11.9%
26,Feb 18,16.8%
27,Jan 18,7.2%
28,Dec 17,8.5%
29,Nov 17,7.3%
30,Oct 17,9.4%
31,Sep 17,11.7%
32,Aug 17,16%
33,Jul 17,14.1%
34,Jun 17,11.5%
35,May 17,8.1%
36,Apr 17,20%
37,Mar 17,21.3%
38,Feb 17,16.4%
39,Jan 17,18.2%
