,Year,Cumulative number of positive cases
0,1/5/21,1041028
1,1/4/21,1028362
2,1/3/21,1017153
3,1/2/21,1005785
4,1/1/21,990711
5,12/31/20,974214
6,12/30/20,957412
7,12/29/20,943990
8,12/28/20,932552
9,12/27/20,922145
10,12/26/20,914522
11,12/25/20,903716
12,12/24/20,891270
13,12/23/20,878702
14,12/22/20,866765
15,12/21/20,857049
16,12/20/20,848042
17,12/19/20,838085
18,12/18/20,828166
19,12/17/20,815469
20,12/16/20,804555
21,12/15/20,794557
22,12/14/20,784204
23,12/13/20,775160
24,12/12/20,764966
25,12/11/20,753837
26,12/10/20,743242
27,12/9/20,733064
28,12/8/20,722464
29,12/7/20,713129
30,12/6/20,705827
31,12/5/20,696125
32,12/4/20,685364
33,12/3/20,674093
34,12/2/20,664238
35,12/1/20,655265
36,11/30/20,647980
37,11/29/20,641161
38,11/28/20,634438
39,11/27/20,628375
40,11/26/20,620199
41,11/25/20,613266
42,11/24/20,607001
43,11/23/20,602120
44,11/22/20,596214
45,11/21/20,590822
46,11/20/20,584850
47,11/19/20,579382
48,11/18/20,574072
49,11/17/20,568778
50,11/16/20,563690
51,11/15/20,560200
52,11/14/20,556551
53,11/13/20,551163
54,11/12/20,545762
55,11/11/20,540965
56,11/10/20,536145
57,11/9/20,532180
58,11/8/20,529036
59,11/7/20,525608
60,11/6/20,522021
61,11/5/20,518812
62,11/4/20,515815
63,11/3/20,513689
64,11/2/20,511368
65,11/1/20,509735
66,10/31/20,507480
67,10/30/20,505431
68,10/29/20,503176
69,10/28/20,500677
70,10/27/20,498646
71,10/26/20,496655
72,10/25/20,495464
73,10/24/20,493832
74,10/23/20,491771
75,10/22/20,490134
76,10/21/20,488506
77,10/20/20,486480
78,10/19/20,485279
79,10/18/20,484281
80,10/17/20,482891
81,10/16/20,481107
82,10/15/20,479400
83,10/14/20,477940
84,10/13/20,476708
85,10/12/20,475315
86,10/11/20,474286
87,10/10/20,473143
88,10/9/20,471696
89,10/8/20,470104
90,10/7/20,468268
91,10/6/20,466908
92,10/5/20,465515
93,10/4/20,464582
94,10/3/20,463360
95,10/2/20,461629
96,10/1/20,460031
97,9/30/20,458649
98,9/29/20,457649
99,9/28/20,456460
100,9/27/20,455626
101,9/26/20,454760
102,9/25/20,453755
103,9/24/20,452847
104,9/23/20,451892
105,9/22/20,451227
106,9/21/20,450473
107,9/20/20,449900
108,9/19/20,449038
109,9/18/20,448052
110,9/17/20,447262
111,9/16/20,446366
112,9/15/20,445714
113,9/14/20,444948
114,9/13/20,444365
115,9/12/20,443640
116,9/11/20,442791
117,9/10/20,441911
118,9/9/20,441154
119,9/8/20,440578
120,9/7/20,440021
121,9/6/20,439501
122,9/5/20,438772
123,9/4/20,437971
124,9/3/20,437107
125,9/2/20,436218
126,9/1/20,435510
127,8/31/20,434756
128,8/30/20,434100
129,8/29/20,433402
130,8/28/20,432767
131,8/27/20,432131
132,8/26/20,431340
133,8/25/20,430774
134,8/24/20,430145
135,8/23/20,429737
136,8/22/20,429165
137,8/21/20,428512
138,8/20/20,427803
139,8/19/20,427202
140,8/18/20,426571
141,8/17/20,425916
142,8/16/20,425508
143,8/15/20,424901
144,8/14/20,424167
145,8/13/20,423440
146,8/12/20,422703
147,8/11/20,422003
148,8/10/20,421336
149,8/9/20,420860
150,8/8/20,420345
151,8/7/20,419642
152,8/6/20,418928
153,8/5/20,418225
154,8/4/20,417589
155,8/3/20,416843
156,8/2/20,416298
157,8/1/20,415767
158,7/31/20,415014
159,7/30/20,414370
160,7/29/20,413593
161,7/28/20,412878
162,7/27/20,412344
163,7/26/20,411736
164,7/25/20,411200
165,7/24/20,410450
166,7/23/20,409697
167,7/22/20,408886
168,7/21/20,408181
169,7/20/20,407326
170,7/19/20,406807
171,7/18/20,406305
172,7/17/20,405551
173,7/16/20,404775
174,7/15/20,404006
175,7/14/20,403175
176,7/13/20,402263
177,7/12/20,401706
178,7/11/20,401029
179,7/10/20,400299
180,7/9/20,399513
181,7/8/20,398929
182,7/7/20,398237
183,7/6/20,397649
184,7/5/20,397131
185,7/4/20,396598
186,7/3/20,395872
187,7/2/20,394954
188,7/1/20,394079
189,6/30/20,393454
190,6/29/20,392930
191,6/28/20,392539
192,6/27/20,391923
193,6/26/20,391220
194,6/25/20,390415
195,6/24/20,389666
196,6/23/20,389085
197,6/22/20,388488
198,6/21/20,387936
199,6/20/20,387272
200,6/19/20,386556
201,6/18/20,385760
202,6/17/20,385142
203,6/16/20,384575
204,6/15/20,383944
205,6/14/20,383324
206,6/13/20,382630
207,6/12/20,381714
208,6/11/20,380892
209,6/10/20,380156
210,6/9/20,379482
211,6/8/20,378799
212,6/7/20,378097
213,6/6/20,377316
214,6/5/20,376208
215,6/4/20,375133
216,6/3/20,374085
217,6/2/20,373040
218,6/1/20,371711
219,5/31/20,370770
220,5/30/20,369660
221,5/29/20,368284
222,5/28/20,366733
223,5/27/20,364965
224,5/26/20,363836
225,5/25/20,362764
226,5/24/20,361515
227,5/23/20,359926
228,5/22/20,358154
229,5/21/20,356458
230,5/20/20,354370
231,5/19/20,352845
232,5/18/20,351371
233,5/17/20,350121
234,5/16/20,348232
235,5/15/20,345813
236,5/14/20,343051
237,5/13/20,340661
238,5/12/20,338485
