,Response,Percentage of users
0,Windows,-
1,Windows 10(64 bit),89.28%
2,Windows 7(64 bit),4.39%
3,Windows 8.1(64 bit),1.46%
4,Windows 7,0.22%
5,Windows 10,0.13%
6,Windows 8(64 bit),0.11%
7,OSX,-
8,MacOS 10.15.6(64 bit),0.86%
9,MacOS 10.15.7(64 bit),0.85%
10,MacOS 10.14.6(64 bit),0.51%
11,MacOS 10.13.6(64 bit),0.4%
12,MacOS 10.15.5(64 bit),0.18%
13,MacOS 10.12.6(64 bit),0.14%
14,MacOS 10.15.4(64 bit),0.1%
15,MacOS 10.11.6(64 bit),0.1%
16,MacOS 10.15.3(64 bit),0.05%
17,MacOS 10.16.0(64 bit),0.05%
18,Linux,-
19,Ubuntu 20.04.1 LTS(64 bit),0.21%
20,"""Manjaro Linux""(64 bit)",0.1%
21,"""Arch Linux""(64 bit)",0.1%
22,Ubuntu 18.04.5 LTS(64 bit),0.07%
23,Linux Mint 20(64 bit),0.05%
