,Month,Amounts outstanding in million GBP
0,Jun '20,85883
1,May '20,83857
2,Apr '20,82675
3,Mar '20,83189
4,Feb '20,82943
5,Jan '20,82892
6,Dec '19,82708
7,Nov '19,82821
8,Oct '19,82886
9,Sep '19,82828
10,Aug '19,82791
11,Jul '19,82677
12,Jun '19,82598
13,May '19,82475
14,Apr '19,82589
15,Mar '19,82887
16,Feb '19,82678
17,Jan '19,82400
18,Dec '18,82161
19,Nov '18,81938
20,Oct '18,81746
21,Sep '18,81743
22,Aug '18,81629
23,Jul '18,81619
24,Jun '18,81550
25,May '18,81476
26,Apr '18,81528
27,Mar '18,81600
28,Feb '18,81701
29,Jan '18,81859
30,Dec '17,81958
31,Nov '17,82056
32,Oct '17,82092
33,Sep '17,82072
34,Aug '17,82047
35,Jul '17,82094
36,Jun '17,82122
37,May '17,82131
38,Apr '17,82032
39,Mar '17,81834
40,Feb '17,81544
41,Jan '17,81216
