,residency,Earnings in million U.S. dollars
0,A New Day... - Celine Dion (2003-2007),385.1
1,Celine - Celine Dion (2011-present)*,245.5
2,The Red Piano - Elton John (2004-2009),166.4
3,Piece of Me - Britney Spears (2013-2017,137.7
4,The Million Dollar Piano - Elton John (2011-2018),131.2
5,All I Have - Jennifer Lopez (2016-2018,101.9
6,Cher - Cher (2008-2011),97.4
7,The Showgirl Must Go On - Bette Midler (2008-2010),71.8
8,The Hits - Rod Stewart (2011-2018),57.4
9,Strait to Vegas - George Strait (2016-present)*,47.9
