,Month,Index level*
0,Jan '16,103.9
1,Feb '16,104.1
2,Mar '16,104.4
3,Apr '16,104.7
4,May '16,104.8
5,Jun '16,104.9
6,Jul '16,105.0
7,Aug '16,105.3
8,Sep '16,105.5
9,Oct '16,105.7
10,Nov '16,105.7
11,Dec '16,105.8
12,Jan '17,106.1
13,Feb '17,106.1
14,Mar '17,106.0
15,Apr '17,106.1
16,May '17,106.3
17,Jun '17,106.3
18,Jul '17,106.5
19,Aug '17,106.5
20,Sep '17,106.5
21,Oct '17,106.5
22,Nov '17,106.4
23,Dec '17,106.2
24,Jan '18,106.3
25,Feb '18,106.2
26,Mar '18,106.1
27,Apr '18,106.1
28,May '18,106.1
29,Jun '18,106.1
30,Jul '18,106.2
31,Aug '18,106.3
32,Sep '18,106.3
33,Oct '18,106.3
34,Nov '18,106.3
35,Dec '18,106.4
36,Jan '19,106.4
37,Feb '19,106.5
38,Mar '19,106.6
39,Apr '19,106.7
40,May '19,107.0
41,Jun '19,107.0
42,Jul '19,107.2
43,Aug '19,107.1
44,Sep '19,107.2
45,Oct '19,107.3
46,Nov '19,107.4
47,Dec '19,107.6
48,Jan '20,107.7
49,Feb '20,107.7
50,Mar '20,107.9
51,Apr '20,108.0
52,May '20,108.2
53,Jun '20,108.3
54,Jul '20,108.3
