,Year,GDP per capita in U.S. dollars
0,2025*,5428.87
1,2024*,5122.04
2,2023*,4834.01
3,2022*,4557.23
4,2021*,4287.19
5,2020*,4038.4
6,2019,4196.67
7,2018,3947.13
8,2017,3885.47
9,2016,3605.72
10,2015,3367.69
11,2014,3533.61
12,2013,3684.0
13,2012,3744.53
14,2011,3688.53
15,2010,3178.13
16,2009,2464.96
17,2008,2418.04
18,2007,2064.23
19,2006,1764.79
20,2005,1403.88
21,2004,1280.7
22,2003,1186.85
23,2002,1002.91
24,2001,834.14
25,2000,870.15
26,1999,829.57
27,1998,572.09
28,1997,1308.11
29,1996,1394.5
30,1995,1254.02
31,1994,1115.61
32,1993,1013.06
33,1992,907.77
34,1991,847.57
35,1990,770.76
36,1989,696.87
37,1988,621.93
38,1987,562.9
39,1986,610.23
40,1985,658.22
