,Month,Index numbers of sales per week*
0,Nov 20,221.4
1,Oct 20,196.9
2,Sep 20,186.7
3,Aug 20,189.4
4,Jul 20,205.0
5,June 20,219.5
6,May 20,221.8
7,Apr 20,183.5
8,Mar 20,117.1
9,Feb 20,101.0
10,Jan 20,97.3
11,Dec 19,110.9
12,Nov 19,106.5
13,Oct 19,98.8
14,Sep 19,97.4
15,Aug 19,98.9
16,Jul 19,98.1
17,Jun 19,95.7
18,May 19,97.8
19,Apr 19,99.1
20,Mar 19,97.1
21,Feb 19,99.6
22,Jan 19,95.7
23,Dec 18,118.9
24,Nov 18,107.9
25,Oct 18,96.7
26,Sep 18,90.9
27,Aug 18,91.4
28,July 18,97.9
29,June 18,102.1
30,May 18,102.7
31,Apr 18,98.5
32,Mar 18,98.4
33,Feb 18,99.2
34,Jan 18,92.8
35,Dec 17,114.1
36,Nov 17,104.9
37,Oct 17,93.4
38,Sep 17,88.5
39,Aug 17,85.8
40,July 17,88.4
41,Jun 17,89.0
42,May 17,87.6
43,Apr 17,88.6
44,Mar 17,88.7
45,Feb 17,85.1
46,Jan 17,86.8
47,Dec 16,99.9
48,Nov 16,97.4
49,Oct 16,86.2
50,Sep 16,79.9
51,Aug 16,73.4
52,Jul 16,77.3
53,Jun 16,80.2
54,May 16,81.7
55,Apr 16,73.9
56,Mar 16,74.0
57,Feb 16,73.9
58,Jan 16,74.4
59,Dec 15,77.5
60,Nov 15,77.2
61,Oct 15,70.0
62,Sep 15,70.0
63,Aug 15,66.2
64,Jul 15,68.1
65,Jun 15,70.7
66,May 15,69.7
67,Apr 15,66.1
68,Mar 15,70.1
69,Feb 15,68.1
70,Jan 15,66.6
