,Month,Market share
0,Dec 19,9.86%
1,Nov 19,9.78%
2,Oct 19,9.59%
3,Sep 19,5.72%
4,Aug 19,12.24%
5,Jul 19,9.66%
6,Jun 19,9.16%
7,May 19,8.57%
8,Apr 19,9.41%
9,Mar 19,8.37%
10,Feb 19,9.71%
11,Jan 19,8.21%
12,Dec 18,11.11%
13,Nov 18,9.94%
14,Oct 18,8.9%
15,Sep 18,4.81%
16,Aug 18,11.96%
17,Jul 18,10.23%
18,Jun 18,9.88%
19,May 18,9.39%
20,Apr 18,8.7%
21,Mar 18,7.98%
22,Feb 18,8.71%
23,Jan 18,7.69%
24,Dec 17,10.06%
25,Nov 17,8.55%
26,Oct 17,8.7%
27,Sep 17,8.53%
28,Aug 17,9.06%
29,Jul 17,8.7%
30,Jun 17,9.3%
31,May 17,8.41%
32,Apr 17,6.55%
33,Mar 17,7.02%
34,Feb 17,8.81%
35,Jan 17,7.43%
36,Dec 16,8.78%
37,Nov 16,7.8%
38,Oct 16,7.78%
39,Sep 16,7.18%
40,Aug 16,6.97%
41,Jul 16,7.86%
