,Billionaire,Net worth in billion U.S. dollars
0,Giovanni Ferrero (Ferrero),22.4
1,Leonardo Del Vecchio (Luxottica),19.8
2,Stefano Pessina (Walgreens Boots Alliance),12.4
3,Giorgio Armani (Giorgio Armani S.p.A.),8.5
4,Massimiliana Landini Aleotti (Menarini),7.4
5,Augusto and Giorgio Perfetti (Perfetti Van Melle),6.5
6,Silvio Berlusconi,6.3
7,"Paolo and Gianfelice Mario Rocca (Techint, Istituto Clinico Humanitas, Assolombarda)",4.1
8,Giuseppe De’ Longhi (De’ Longhi),3.8
9,Luca Garavoglia (Campari Group),3.5
