,Quarter,Revenue in billion U.S. dollars
0,Q4 '19,35.42
1,Q3 '19,31.27
2,Q2 '19,29.9
3,Q1 '19,28.02
4,Q4 '18,31.37
5,Q3 '18,26.5
6,Q2 '18,25.63
7,Q1 '18,23.9
8,Q4 '17,26.18
9,Q3 '17,21.83
10,Q2 '17,20.85
11,Q1 '17,19.4
12,Q4 '16,21.65
13,Q3 '16,18.2
14,Q2 '16,16.92
15,Q1 '16,15.87
16,Q4 '15,17.38
17,Q3 '15,14.69
18,Q2 '15,14.3
19,Q1 '15,13.18
20,Q4 '14,14.15
21,Q3 '14,12.21
22,Q2 '14,11.68
23,Q1 '14,11.41
24,Q4 '13,12.11
25,Q3 '13,10.61
26,Q2 '13,10.26
27,Q1 '13,9.81
28,Q4 '12,10.31
29,Q3 '12,9.24
30,Q2 '12,8.72
31,Q1 '12,8.31
32,Q4 '11,8.97
33,Q3 '11,7.82
34,Q2 '11,7.68
35,Q1 '11,7.26
36,Q4 '10,7.45
37,Q3 '10,6.47
38,Q2 '10,6.19
39,Q1 '10,5.94
40,Q4 '09,6.26
41,Q3 '09,5.5
42,Q2 '09,5.43
43,Q1 '09,5.47
44,Q4 '08,6.1
45,Q3 '08,5.84
46,Q2 '08,5.75
47,Q1 '08,5.77
48,Q4 '07,5.95
49,Q3 '07,5.27
50,Q2 '07,5.09
51,Q1 '07,4.9
