,household expenditure type,Average expenditure in Canadian dollars
0,Shelter,21068
1,Income taxes,18860
2,Transportation,15604
3,Food expenditures,9092
4,Personal insurance payments and pension contributions,6164
5,Household operations,5511
6,Recreation,4680
7,Clothing and accessories,3803
8,Health care,2808
9,"Gifts of money, support payments and charitable contributions",2605
10,Household furnishings and equipment,2488
11,Miscellaneous expenditures,2185
12,Tobacco products and alcoholic beverages,1915
13,Education,1787
14,Personal care,1547
15,Games of chance,277
16,Reading materials and other printed matter,193
