,Month,Number of players in thousands
0,January 2020,645.41
1,December 2019,686.24
2,November 2019,695.92
3,October 2019,637.87
4,September 2019,660.86
5,August 2019,750.94
6,July 2019,745.22
7,June 2019,745.96
8,May 2019,817.6
9,April 2019,886.26
10,March 2019,931.41
11,February 2019,931.75
12,January 2019,1084.61
13,December 2018,1109.77
14,November 2018,895.65
15,October 2018,1048.66
16,September 2018,1125.23
17,August 2018,1260.89
18,July 2018,1350.46
19,June 2018,1750.22
20,May 2018,2175.7
21,April 2018,2456.36
22,March 2018,2799.27
23,February 2018,2934.76
24,January 2018,3236.03
25,December 2017,3080.77
26,November 2017,2915.72
27,October 2017,2390.95
28,September 2017,1550.46
29,August 2017,874.17
30,July 2017,481.29
31,June 2017,267.19
32,May 2017,189.46
33,April 2017,140.1
