,name,Assets in billions of euros
0,Bernard Arnault,66.9
1,Françoise Bettencourt Meyers,43.4
2,François Pinault,26.1
3,"Famille Dassault (Olivier, Laurent, Thierry et Marie Hélène Dassault)",21.1
4,Alain Wertheimer,12.8
5,Gérard Wertheimer,12.8
6,Emmanuel Besnier,12.6
7,Rodolphe Saadé,9.2
8,Patrick Drahi,6.8
9,Carrie Perrodo,5.0
10,Pierre Bellon,4.7
11,Vincent Bolloré,4.5
12,Jean-Michel Besnier,4.4
13,Alain Mérieux,4.4
14,Marie Besnier Beauvalot,4.4
15,Michel Leclercq,4.2
16,Marc Ladreit de Lacharriere,3.7
17,Xanier Niel,3.6
18,Martin et Olivier Bouygues,3.2
19,Nicolas Puech,2.9
20,Jean-Pierre Cayard,2.8
21,Anne Beaufour,2.5
22,Henri Beaufour,2.5
23,Mohed Altrad,2.4
24,Charles Edelstrenne,2.3
