,Year,Crude birth rate
0,2020,11.1
1,2015,11.9
2,2010,12.6
3,2005,12.4
4,2000,13.4
5,1995,13.9
6,1990,13.3
7,1985,12.3
8,1980,12.9
9,1975,15.9
10,1970,17.5
11,1965,17.4
12,1960,18.1
13,1955,18.7
14,1950,20.57
15,1945,18.45
16,1940,15.38
17,1935,15.17
18,1930,17.99
19,1925,22.25
20,1920,24.62
21,1915,24.97
22,1910,26.39
23,1905,28.55
24,1900,29.99
25,1895,30.14
26,1890,30.54
27,1885,30.95
28,1880,31.55
29,1875,30.33
30,1870,29.88
31,1865,31.86
32,1860,33.34
33,1855,32.51
34,1850,30.92
35,1845,30.37
36,1840,28.59
37,1835,31.18
38,1830,32.92
39,1825,33.68
40,1820,32.71
41,1815,27.7
42,1810,27.44
43,1805,28.44
44,1800,30.0
