,Response,Share of workers
0,2019,1.9%
1,2018,2.1%
2,2017,2.3%
3,2016,2.7%
4,2015,3.3%
5,2014,3.9%
6,2013,4.3%
7,2012,4.7%
8,2011,5.2%
9,2010,6%
10,2009,4.9%
11,2008,3%
12,2007,2.3%
13,2006,2.2%
14,2005,2.5%
15,2004,2.7%
16,2003,2.9%
17,2002,3%
18,2001,3%
19,2000,3.6%
20,1999,4.6%
21,1998,6.2%
22,1997,6.7%
23,1996,5.4%
24,1995,5.3%
25,1994,6.2%
26,1993,6.7%
27,1992,7.7%
28,1991,8.4%
29,1990,5.1%
30,1989,5.1%
31,1988,6.5%
32,1987,7.9%
33,1986,8.8%
34,1985,9.9%
35,1984,11%
36,1983,12.2%
37,1982,12.8%
38,1981,15.1%
39,1980,15.1%
40,1979,13.4%
