,Year,Import volume in billion U.S. dollars
0,2019,57.16
1,2018,54.74
2,2017,49.89
3,2016,45.27
4,2015,44.22
5,2014,42.38
6,2013,38.71
7,2012,36.96
8,2011,33.97
9,2010,28.51
10,2009,26.43
11,2008,36.13
12,2007,35.03
13,2006,32.66
14,2005,31.01
15,2004,28.1
16,2003,25.41
17,2002,24.22
18,2001,23.79
19,2000,25.04
20,1999,22.36
21,1998,20.96
22,1997,19.41
23,1996,18.32
24,1995,16.35
25,1994,14.8
26,1993,13.22
27,1992,12.31
28,1991,11.76
29,1990,12.75
30,1989,11.93
31,1988,11.58
32,1987,11.04
33,1986,10.61
34,1985,9.67
