,Month,Vacancy rate
0,Aug '20,4.8%
1,Jul '20,4.9%
2,Jun '20,4.7%
3,May '20,4.4%
4,Apr '20,4.3%
5,Mar '20,4.2%
6,Feb '20,4.5%
7,Jan '20,4.2%
8,Dec '19,4.4%
9,Nov '19,4%
10,Oct '19,4%
11,Sep '19,4%
12,Aug '19,3.8%
13,Jul '19,4%
14,Jun '19,4.1%
15,May '19,4%
16,Apr '19,4%
17,Mar '19,4%
18,Feb '19,4%
19,Jan '19,3.9%
20,Dec '18,3.9%
21,Nov '18,4%
22,Oct '18,4.2%
23,Sep '18,4.2%
24,Aug '18,3.9%
25,Jul '18,3.9%
26,Jun '18,3.7%
27,May '18,3.7%
28,Apr '18,3.8%
29,Mar '18,3.9%
30,Feb '18,4%
31,Jan '18,3.8%
32,Dec '17,3.9%
33,Nov '17,3.7%
34,Oct '17,3.8%
35,Sep '17,3.9%
36,Aug '17,4%
37,Jul '17,4.1%
38,Jun '17,4.1%
39,May '17,4%
40,Apr '17,4%
41,Mar '17,3.8%
42,Feb '17,3.8%
43,Jan '17,3.8%
