,Metropolitan Statistical Area,Value of residential construction in billion U.S. dollars
0,"Dallas-Fort Worth-Arlington, TX",12.7
1,"Houston-The Woodlands-Sugar Land, TX",9.83
2,"New York-Newark-Jersey City, NY-NJ-PA",8.78
3,"Phoenix-Mesa-Chandler, AZ",8.37
4,"Los Angeles-Long Beach-Anaheim, CA",6.95
5,"Atlanta-Sandy Springs-Alpharetta, GA",6.78
6,"Austin-Round Rock-Georgetown, TX",5.8
7,"Seattle-Tacoma-Bellevue, WA",5.57
8,"Orlando-Kissimmee-Sanford, FL",5.23
9,"Miami-Fort Lauderdale-Pompano Beach, FL",5.14
10,"Charlotte-Concord-Gastonia, NC-SC",5.09
11,"Tampa-St. Petersburg-Clearwater, FL",5.08
12,"Minneapolis-St. Paul-Bloomington, MN-WI",4.95
13,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.88
14,"Nashville-Davidson--Murfreesboro--Franklin, TN",4.63
15,"Denver-Aurora-Lakewood, CO",4.31
16,"San Francisco-Oakland-Berkeley, CA",3.77
17,"Riverside-San Bernardino-Ontario, CA",3.43
18,"Chicago-Naperville-Elgin, IL-IN-WI",3.38
19,"Portland-Vancouver-Hillsboro, OR-WA",3.37
