,Country,Number of outlets
0,Subway,2097
1,Costa,2000
2,Greggs,1698
3,Starbucks Coffee Company,792
4,Cafe Nero,574
5,BP - Wild Bean Cafe,337
6,SSPUK (various brands**),331
7,Pret A Manger,303
8,Coffee Republic,230
9,Stephens,177
10,Patisserie Holdings,175
11,Sayers the Bakers,170
12,Coopland and Son,144
13,EAT,118
14,Aulds,79
15,Stuart's of Buckhaven,73
16,Greenhalgh's Craft Bakery,61
17,Krispy Kreme,61
18,Muffin Break,60
19,Coffee #1,57
20,Birds the Confectioners,56
21,West Cornwall Pasty Co,54
22,Bayne's,53
23,Percy Ingle,51
24,Warrens Bakery,50
