,Sports Teams Worldwide,Brand value in billion U.S. dollars
0,Dallas Cowboys,5.0
1,New York Yankees,4.6
2,Real Madrid,4.25
3,FC Barcelona,4.02
4,New York Knicks,4.0
5,Manchester United,3.81
6,New England Patriots,3.8
7,Los Angeles Lakers,3.7
8,Golden State Warriors,3.5
9,New York Giants,3.3
10,Los Angeles Dodgers,3.3
11,Boston Red Sox,3.2
12,Los Angeles Rams,3.2
13,Washington Redskins,3.1
14,Chicago Cubs,3.1
15,San Francisco 49ers,3.05
16,Bayern Munich,3.02
17,San Francisco Giants,3.0
18,Chicago Bulls,2.9
19,Chicago Bears,2.9
