,Country,"Incarceration rate per 100,000 people"
0,Russia,386.1
1,Turkey,329.0
2,Georgia,269.7
3,Lithuania,232.1
4,Azerbaijan,218.2
5,Czechia,202.6
6,Moldova,197.0
7,Poland,190.1
8,Slovakia,188.9
9,Montenegro,185.5
10,Latvia,183.4
11,Estonia,181.1
12,Hungary,169.5
13,Serbia,156.1
14,Scotland,146.0
15,England & Wales,137.6
16,Spain,125.7
17,Portugal,125.2
18,Luxembourg,108.2
19,Malta,107.5
20,Bulgaria,106.7
21,Romania,106.6
22,Austria,105.6
23,France,104.5
24,North Macedonia,103.2
25,Italy,99.6
26,Greece,99.0
27,Belgium,94.9
28,Cyprus,82.5
29,Switzerland,81.3
30,Ireland,81.2
31,Northern Ireland,79.2
32,Croatia,78.9
33,Germany,76.7
34,Armenia,76.4
35,Andorra,68.9
36,Slovenia,67.1
37,Denmark,63.2
38,Norway,60.6
39,Sweden,59.7
40,Netherlands,56.4
41,Monaco,54.8
42,Finland,49.8
43,Iceland,40.3
44,Liechtenstein,31.3
