,State,Percentage change in abortion rate
0,Wyoming,19.8%
1,Mississippi,16.7%
2,District of Columbia,5.9%
3,New Jersey,3.5%
4,Georgia,0.7%
5,North Carolina,0.2%
6,Kansas,-2.2%
7,Illinois,-2.3%
8,Vermont,-2.4%
9,Minnesota,-5.9%
10,Michigan,-7.1%
11,New Mexico,-10.1%
12,Maine,-11%
13,Maryland,-12.7%
14,Pennsylvania,-13.1%
15,Rhode Island,-15.4%
16,Oregon,-15.7%
17,Wisconsin,-16.2%
18,North Dakota,-16.8%
19,Connecticut,-16.9%
20,Kentucky,-18%
21,Utah,-18.1%
22,Indiana,-18.5%
23,Louisiana,-19.1%
24,Missouri,-19.6%
25,South Dakota,-19.8%
26,U.S. total,-20.1%
27,Nevada,-20.2%
28,Oklahoma,-21.4%
29,Florida,-21.7%
30,New York,-23%
31,Colorado,-23.3%
32,Nebraska,-24.2%
33,Washington,-24.3%
34,Masschusetts,-24.4%
35,South Carolina,-25.3%
36,Arkansas,-27.1%
37,Idaho,-27.4%
38,Ohio,-27.4%
39,Arizona,-27.4%
40,California,-28.8%
41,New Hampshire,-29%
42,Tennessee,-29.4%
43,Texas,-30.2%
44,Alaska,-30.6%
45,Montana,-32.3%
46,Iowa,-34.6%
47,Alabama,-35.7%
48,West Virginia,-36.7%
49,Virginia,-41.5%
50,Hawaii,-42.9%
51,Delaware,-62.9%
