,basketball team,Number of followers in millions
0,Golden State Warriors,13.2
1,Los Angeles Lakers,9.96
2,Cleveland Cavaliers,7.45
3,Chicago Bulls,4.78
4,Boston Celtics,4.58
5,Oklahoma City Thunder,4.39
6,Houston Rockets,4.34
7,Miami Heat,3.71
8,Toronto Raptors,2.99
9,San Antonio Spurs,2.87
10,LA Clippers,2.67
11,Milwaukee Bucks,2.34
12,New York Knicks,2.31
13,Philadelphia 76ers,2.24
14,Brooklyn Nets,1.83
15,Minnesota Timberwolves,1.7
16,New Orleans Pelicans,1.7
17,Indiana Pacers,1.68
18,Portland Trail Blazers,1.65
19,Dallas Mavericks,1.41
20,Washington Wizards,1.4
21,Sacramento Kings,1.32
22,Phoenix Suns,1.27
23,Atlanta Hawks,1.18
24,Charlotte Hornets,1.14
25,Denver Nuggets,1.08
26,Detroit Pistons,1.04
27,Orlando Magic,1.03
28,Utah Jazz,0.91
29,Memphis Grizzlies,0.9
