,State,Growth rate
0,Utah,3%
1,Arizona,2.8%
2,Idaho,2.8%
3,Nevada,2.5%
4,Texas,2.3%
5,Colorado,2.1%
6,Washington,2%
7,Florida,1.9%
8,North Carolina,1.9%
9,Tennessee,1.9%
10,Georgia,1.7%
11,South Carolina,1.6%
12,New Mexico,1.6%
13,Oregon,1.5%
14,California,1.5%
15,Alabama,1.4%
16,Wyoming,1.3%
17,Virginia,1.2%
18,Montana,1.1%
19,New York,1%
20,North Dakota,1%
21,Delaware,1%
22,Massachussets,1%
23,Pennsylvania,0.9%
24,New Hampshire,0.9%
25,New Jersey,0.9%
26,Maine,0.8%
27,Arkansas,0.8%
28,Oklahoma,0.8%
29,District of Columbia,0.7%
30,Missouri,0.6%
31,Maryland,0.6%
32,South Dakota,0.6%
33,Indiana,0.6%
34,Rhode Island,0.6%
35,Kansas,0.5%
36,Alaska,0.5%
37,Minnesota,0.5%
38,Mississippi,0.4%
39,Kentucky,0.4%
40,Ohio,0.4%
41,Michigan,0.3%
42,Illinois,0.3%
43,Nebraska,0.3%
44,Wisconsin,0.2%
45,Iowa,0.1%
46,Vermont,0%
47,Louisiana,0%
48,Connecticut,-0.2%
49,Hawaii,-0.4%
50,West Virginia,-0.9%
