,Month,Number of new cases
0,"Jan 5, 2021",137
1,"Jan 4, 2021",295
2,"Jan 3, 2021",147
3,"Jan 2, 2021",198
4,"Jan 1, 2021",127
5,"Dec 31, 2020",253
6,"Dec 30, 2020",256
7,"Dec 29, 2020",306
8,"Dec 28, 2020",430
9,"Dec 27, 2020",189
10,"Dec 26, 2020",185
11,"Dec 25, 2020",157
12,"Dec 24, 2020",138
13,"Dec 23, 2020",277
14,"Dec 22, 2020",331
15,"Dec 21, 2020",374
16,"Dec 20, 2020",244
17,"Dec 19, 2020",190
18,"Dec 18, 2020",395
19,"Dec 17, 2020",319
20,"Dec 16, 2020",350
21,"Dec 15, 2020",358
22,"Dec 14, 2020",463
23,"Dec 13, 2020",276
24,"Dec 12, 2020",250
25,"Dec 11, 2020",444
26,"Dec 10, 2020",408
27,"Dec 9, 2020",464
28,"Dec 8, 2020",478
29,"Dec 7, 2020",588
30,"Dec 6, 2020",282
31,"Dec 5, 2020",250
32,"Dec 4, 2020",472
33,"Dec 3, 2020",477
34,"Dec 2, 2020",495
35,"Dec 1, 2020",439
36,"Nov 30, 2020",596
37,"Nov 29, 2020",293
38,"Nov 28, 2020",284
39,"Nov 27, 2020",455
40,"Nov 26, 2020",510
41,"Nov 25, 2020",599
42,"Nov 24, 2020",469
43,"Nov 23, 2020",504
44,"Nov 22, 2020",267
45,"Nov 21, 2020",268
46,"Nov 20, 2020",428
47,"Nov 19, 2020",478
48,"Nov 18, 2020",376
49,"Nov 17, 2020",391
50,"Nov 16, 2020",392
51,"Nov 15, 2020",182
52,"Nov 14, 2020",145
53,"Nov 13, 2020",266
54,"Nov 12, 2020",282
55,"Nov 11, 2020",294
56,"Nov 10, 2020",205
57,"Nov 9, 2020",273
58,"Nov 8, 2020",133
59,"Nov 7, 2020",128
60,"Nov 6, 2020",196
61,"Nov 5, 2020",221
62,"Nov 4, 2020",213
63,"Nov 3, 2020",241
64,"Nov 2, 2020",289
65,"Nov 1, 2020",150
66,"Oct 31, 2020",121
67,"Oct 30, 2020",219
68,"Oct 29, 2020",237
69,"Oct 28, 2020",239
70,"Oct 27, 2020",231
71,"Oct 26, 2020",256
72,"Oct 25, 2020",124
73,"Oct 24, 2020",107
74,"Oct 23, 2020",192
75,"Oct 22, 2020",220
76,"Oct 21, 2020",188
77,"Oct 20, 2020",166
78,"Oct 19, 2020",244
79,"Oct 18, 2020",129
80,"Oct 17, 2020",104
81,"Oct 16, 2020",195
82,"Oct 15, 2020",190
83,"Oct 14, 2020",201
84,"Oct 13, 2020",198
85,"Oct 12, 2020",255
86,"Oct 11, 2020",130
87,"Oct 10, 2020",109
88,"Oct 9, 2020",227
89,"Oct 8, 2020",258
90,"Oct 7, 2020",306
91,"Oct 6, 2020",303
92,"Oct 5, 2020",291
93,"Oct 4, 2020",148
94,"Oct 3, 2020",180
95,"Oct 2, 2020",188
96,"Oct 1, 2020",188
97,"Sep 30, 2020",165
98,"Sep 29, 2020",134
99,"Sep 28, 2020",122
100,"Sep 27, 2020",71
101,"Sep 26, 2020",74
102,"Sep 25, 2020",127
103,"Sep 24, 2020",98
104,"Sep 23, 2020",117
105,"Sep 22, 2020",110
106,"Sep 21, 2020",120
107,"Sep 20, 2020",74
108,"Sep 19, 2020",61
109,"Sep 18, 2020",77
110,"Sep 17, 2020",85
111,"Sep 16, 2020",57
112,"Sep 15, 2020",53
113,"Sep 14, 2020",59
114,"Sep 13, 2020",46
115,"Sep 12, 2020",41
116,"Sep 11, 2020",57
117,"Sep 10, 2020",52
118,"Sep 9, 2020",55
119,"Sep 8, 2020",57
120,"Sep 7, 2020",45
121,"Sep 6, 2020",33
122,"Sep 5, 2020",22
123,"Sep 4, 2020",42
124,"Sep 3, 2020",35
125,"Sep 2, 2020",26
126,"Sep 1, 2020",29
127,"Aug 31, 2020",48
128,"Aug 30, 2020",17
129,"Aug 26, 2020",20
130,"Aug 29, 2020",19
131,"Aug 28, 2020",33
132,"Aug 27, 2020",32
133,"Aug 25, 2020",14
134,"Aug 24, 2020",17
135,"Aug 23, 2020",10
136,"Aug 22, 2020",16
137,"Aug 21, 2020",25
138,"Aug 20, 2020",26
139,"Aug 19, 2020",47
