,Football player,Payroll in thousand U.S. dollars
0,Bradley Wright-Phillips,1380.0
1,Aaron Long,800.0
2,Kaku,800.0
3,Daniel Royer,768.75
4,Tim Parker,752.2
5,Josh Sims,710.47
6,Luis  Robles,490.0
7,Kemar  Lawrence,382.75
8,Marc  Rzatkowski,341.67
9,Sean  Davis,327.5
10,Mathias  Jorgensen,306.25
11,Amro  Tarek,156.25
12,Ryan  Meara,137.0
13,Connor  Lade,132.75
14,Alex  Muyl,127.75
15,Cristian  Casseres,118.75
16,Michael  Murillo,113.75
17,Omir  Fernandez,95.0
18,Jean-Christophe  Koffi,76.03
19,Marcus  Epps,74.54
20,Florian  Valot,74.51
21,Vincent  Bezecourt,73.3
22,Kyle  Duncan,70.25
23,Evan  Louro,70.25
24,Ben  Mines,63.24
25,Brian  White,57.23
26,Tom  Barlow,56.25
27,Rece  Buckmaster,56.25
28,Sean  Nealis,56.25
