,Games,Number of units in thousands
0,Playerunknown’s Battlegrounds,27795
1,Counter-Strike: Global Offensive,12537
2,Grand Theft Auto V,3462
3,Tom Clancy's Rainbow Six Siege,2958
4,The Witcher 3: Wild Hunt,1895
5,Rocket League,1818
6,ARK: Survival Evolved,1529
7,Cuphead,1336
8,Sid Meier's Civilization VI,1134
9,Dark Souls III,1023
10,Divinity: Original Sin 2,1004
11,Call of Duty: WWII,840
12,Tom Clancy's Ghost Recon Wildlands,820
13,Middle-Earth: Shadow of War,697
14,NieR: Automata,668
15,Total War: WARHAMMER II,643
16,Assasin's Creed Origins,607
17,Football Manager 2018,590
18,For Honor,587
19,Resident Evil 7,545
