,Year,Inflation rate compared to previous year
0,2024*,8%
1,2023*,8.1%
2,2022*,8.4%
3,2021*,8.8%
4,2020*,9.16%
5,2019*,9.26%
6,2018,9.84%
7,2017,12.37%
8,2016,17.46%
9,2015,17.15%
10,2014,15.49%
11,2013,11.67%
12,2012,7.07%
13,2011,7.68%
14,2010,6.7%
15,2009,13.14%
16,2008,16.51%
17,2007,10.73%
18,2006,11.68%
19,2005,15.1%
20,2004,12.67%
21,2003,26.63%
22,2002,14.85%
23,2001,32.93%
24,2000,25.11%
25,1999,12.47%
26,1998,19.21%
27,1997,24.83%
28,1996,44.49%
29,1995,59.32%
30,1994,24.87%
31,1993,24.94%
32,1992,10.05%
33,1991,18.1%
34,1990,37.24%
35,1989,25.24%
36,1988,31.37%
37,1987,39.76%
38,1986,24.54%
39,1985,10.3%
40,1984,40.03%
