,Accounting firm,Number of professionals
0,Deloitte,84718
1,Ernst & Young,35800
2,PwC**,35350
3,KPMG,28331
4,RSM US,8200
5,Grant Thornton,6968
6,BDO USA,5535
7,CliftonLarsonAllen,4412
8,Crowe Horwath,3209
9,Baker Tilly Virchow Krause,2536
10,CBIZ / Mayer Hoffman McCann,2349
11,Plante Moran,2339
12,Moss Adams,2263
13,CohnReznick,2035
14,BKD,2015
15,Wipfli,1518
16,Marcum,1481
17,Eide Bailly,1473
18,Dixon Hughes Goodman,1473
19,"Carr, Riggs & Ingram",1406
20,Armanino,1024
21,EisnerAmper,1020
22,Citrin Cooperman & Co.,758
23,Withum,720
24,Cherry Bekaert,684
