,Quarter,Revenue in million GBP
0,Q1 2020,2565
1,Q4 2019,3105
2,Q3 2019,2298
3,Q2 2019,2141
4,Q1 2019,2583
5,Q4 2018,3002
6,Q3 2018,2192
7,Q2 2018,2033
8,Q1 2018,2362
9,Q4 2017,2814
10,Q3 2017,2198
11,Q2 2017,1835
12,Q1 2017,2135
13,Q4 2016,2815
14,Q3 2016,1989
15,Q2 2016,1736
16,Q1 2016,2090
17,Q4 2015,3009
18,Q3 2015,1974
19,Q2 2015,1841
20,Q1 2015,2122
21,Q4 2014,2781
22,Q2 2014,1836
23,Q1 2014,2246
24,Q4 2013,2977
25,Q3 2013,2064
26,Q2 2013,2156
27,Q1 2013,2558
28,Q4 2012,3357
29,Q3 2012,2298
