,Month,Number of active cases
0,"Jan 5, 2021",569161
1,"Jan 4, 2021",570458
2,"Jan 3, 2021",576214
3,"Jan 2, 2021",577062
4,"Jan 1, 2021",574767
5,"Dec 31, 2020",569896
6,"Dec 30, 2020",564395
7,"Dec 29, 2020",568728
8,"Dec 28, 2020",575221
9,"Dec 27, 2020",581760
10,"Dec 26, 2020",580943
11,"Dec 25, 2020",579886
12,"Dec 24, 2020",593692
13,"Dec 23, 2020",598816
14,"Dec 22, 2020",605955
15,"Dec 21, 2020",613582
16,"Dec 20, 2020",622760
17,"Dec 19, 2020",620166
18,"Dec 18, 2020",627798
19,"Dec 17, 2020",635343
20,"Dec 16, 2020",645706
21,"Dec 15, 2020",663313
22,"Dec 14, 2020",675109
23,"Dec 13, 2020",686031
24,"Dec 12, 2020",684848
25,"Dec 11, 2020",690323
26,"Dec 10, 2020",696527
27,"Dec 9, 2020",710515
28,"Dec 8, 2020",737525
29,"Dec 7, 2020",748819
30,"Dec 6, 2020",755306
31,"Dec 5, 2020",754169
32,"Dec 4, 2020",757702
33,"Dec 3, 2020",759982
34,"Dec 2, 2020",761230
35,"Dec 1, 2020",779945
36,"Nov 30, 2020",788471
37,"Nov 29, 2020",795771
38,"Nov 28, 2020",789308
39,"Nov 27, 2020",787893
40,"Nov 26, 2020",795845
41,"Nov 25, 2020",791697
42,"Nov 24, 2020",798386
43,"Nov 23, 2020",796849
44,"Nov 22, 2020",805947
45,"Nov 21, 2020",791746
46,"Nov 20, 2020",777176
47,"Nov 19, 2020",761671
48,"Nov 18, 2020",743168
49,"Nov 17, 2020",733810
50,"Nov 16, 2020",717784
51,"Nov 15, 2020",712490
52,"Nov 14, 2020",688435
53,"Nov 13, 2020",663926
54,"Nov 12, 2020",635054
55,"Nov 11, 2020",613358
56,"Nov 10, 2020",590110
57,"Nov 9, 2020",573334
58,"Nov 8, 2020",558636
59,"Nov 7, 2020",532536
60,"Nov 6, 2020",499118
61,"Nov 5, 2020",472348
62,"Nov 4, 2020",443235
63,"Nov 3, 2020",418142
64,"Nov 2, 2020",396512
65,"Nov 1, 2020",378129
66,"Oct 31, 2020",351386
67,"Oct 30, 2020",325786
68,"Oct 29, 2020",299191
69,"Oct 28, 2020",276457
70,"Oct 27, 2020",255090
71,"Oct 26, 2020",236684
72,"Oct 25, 2020",222241
73,"Oct 24, 2020",203182
