,Month,Price in British pounds per kilogram
0,Nov '19,0.5
1,Oct '19,0.55
2,Sep '19,0.61
3,Aug '19,0.64
4,Jul '19,0.84
5,Jun '19,0.96
6,May '19,0.74
7,Apr '19,0.64
8,Mar '19,0.48
9,Feb '19,0.44
10,Jan '19,0.44
11,Dec '18,0.43
12,Nov '18,0.47
13,Oct '18,0.46
14,Sep '18,0.51
15,Aug '18,0.52
16,Jul '18,0.37
17,Jun '18,0.32
18,May '18,0.33
19,Apr '18,0.33
20,Mar '18,0.33
21,Feb '18,0.32
22,Jan '18,0.33
23,Dec '17,0.34
24,Nov '17,0.35
25,Oct '17,0.29
26,Sep '17,0.3
27,Aug '17,0.31
28,Jul '17,0.32
29,Jun '17,0.36
30,May '17,0.37
31,Apr '17,0.35
32,Mar '17,0.35
33,Feb '17,0.32
34,Jan '17,0.32
35,Dec '16,0.3
36,Nov '16,0.32
37,Oct '16,0.32
38,Sep '16,0.33
39,Aug '16,0.32
40,Jul '16,0.33
41,Jun '16,0.32
42,May '16,0.35
43,Apr '16,0.34
44,Mar '16,0.32
45,Feb '16,0.3
46,Jan '16,0.31
47,Dec '15,0.31
48,Nov '15,0.32
49,Oct '15,0.34
50,Sep '15,0.41
51,Aug '15,0.48
52,Jul '15,0.56
53,Jun '15,0.49
54,May '15,0.36
55,Apr '15,0.29
56,Mar '15,0.28
57,Feb '15,0.26
58,Jan '15,0.26
