,Month,Units sold
0,Dec 19,3693
1,Nov 19,5466
2,Oct 19,4644
3,Sep 19,8216
4,Aug 19,3610
5,Jul 19,5391
6,Jun 19,6790
7,May 19,5471
8,Apr 19,4882
9,Mar 19,12682
10,Feb 19,2431
11,Jan 19,5522
12,Dec 18,2805
13,Nov 18,5352
14,Oct 18,4216
15,Sep 18,5281
16,Aug 18,3624
17,Jul 18,5689
18,Jun 18,6517
19,May 18,5674
20,Apr 18,5315
21,Mar 18,11829
22,Feb 18,2358
23,Jan 18,4203
24,Dec 17,3848
25,Nov 17,3947
26,Oct 17,4098
27,Sep 17,8343
28,Aug 17,2232
29,Jul 17,4171
30,Jun 17,4901
31,May 17,3882
32,Apr 17,3926
33,Mar 17,11200
34,Feb 17,1728
35,Jan 17,3854
36,Dec 16,3348
37,Nov 16,3668
38,Oct 16,3528
39,Sep 16,7308
40,Aug 16,1816
41,Jul 16,3154
