,Country,Budgetary balance in relation to GDP
0,Denmark,3.7%
1,Luxembourg,2.2%
2,Bulgaria,2.1%
3,Netherlands,1.7%
4,Cyprus,1.7%
5,Greece,1.5%
6,Germany,1.4%
7,Austria,0.7%
8,Slovenia,0.5%
9,Sweden,0.5%
10,Malta,0.5%
11,Croatia,0.4%
12,Ireland,0.4%
13,Lithuania,0.3%
14,Czech Republic,0.3%
15,Portugal,0.2%
16,Latvia,-0.2%
17,Estonia,-0.3%
18,EU 27,-0.6%
19,Euro area,-0.6%
20,Poland,-0.7%
21,Finland,-1.1%
22,Slovakia,-1.3%
23,Italy,-1.6%
24,Belgium,-1.9%
25,Hungary,-2%
26,Spain,-2.1%
27,France,-2.8%
28,Romania,-3%
