,player transfer,Transfer fee paid in million euros
0,Ousmane Dembélé (17/18 - FC Barcelona),130.0
1,Kai Havertz (20/21 - FC Chelsea),80.0
2,Lucas Hernández  (19/20 - FC Bayern München),80.0
3,Kevin De Bruyne (15/16 - Manchester City),76.0
4,Christian Pulisic (18/19 - Chelsea FC),64.0
5,Pierre-Emerick Aubameyang (17/18 - FC Arsenal),63.75
6,Luka Jovic (19/20 - Real Madrid),60.0
7,Naby Keïta (18/19 - Liverpool FC),60.0
8,Timo Werner (20/21 - FC Chelsea),53.0
9,Leroy Sané (16/17 - Manchester City),52.0
10,Sébastien Haller  (19/20 - West Ham United),50.0
11,Leroy Sané (20/21- FC Bayern München),45.0
12,Granit Xhaka (16/17 - Arsenal FC),45.0
13,Joelinton (19/20 - Newcastle United),44.0
14,Julian Draxler (15/16 - VfL Wolfsburg),43.0
15,Henrikh Mkhitaryan (16/17 - Manchester United),42.0
16,Corentin Tolisso (17/18 - FC Bayern München),41.5
17,Roberto Firmino (15/16 - Liverpool FC),41.0
18,Douglas Costa (18/19 - Juventus Turin),40.0
19,Javi Martinez (12/13 - FC Bayern München),40.0
20,Arturo Vidal (15/16 - FC Bayern München),39.25
21,Thilo Kehrer (18/19 - Paris St. Germain),37.0
22,Mario Götze (13/14 - FC Bayern München),37.0
23,Edin Dzeko (10/11 - Manchester City),37.0
24,Julian Draxler (16/17 - Paris Saint Germain),36.0
