,Country,Number of cases
0,Total (worldwide),88948
1,China*,80174
2,Republic of Korea,4212
3,Italy,1689
4,Iran (Islamic Republic of),978
5,Cases on an international conveyance (Japan)**,706
6,Japan,254
7,Germany,129
8,Singapore,106
9,France,100
10,United States of America,62
11,Kuwait,56
12,Bahrain,47
13,Spain,45
14,Thailand,42
15,United Kingdom,36
16,Australia,27
17,Malaysia,24
18,Switzerland,24
19,United Arab Emirates,21
20,Norway,19
21,Iraq,19
22,Canada,19
23,Viet Nam,16
24,Sweden,14
25,Netherlands,13
26,Lebanon,10
27,Austria,10
28,Israel,7
29,Croatia,7
30,Greece,7
31,Oman,6
32,Finland,6
33,Mexico,5
34,Pakistan,4
35,Denmark,4
36,India,3
37,Czechia,3
38,Romania,3
39,Georgia,3
40,Philippines,3
41,Azerbaijan,3
42,Qatar,3
43,Indonesia,2
44,Iceland,2
45,Egypt,2
46,Brazil,2
47,Russian Federation,2
48,Armenia,1
49,Ecuador,1
50,Dominican Republic,1
51,Estonia,1
52,Ireland,1
53,Lithuania,1
54,Luxembourg,1
55,Monaco,1
56,Algeria,1
57,New Zealand,1
58,Cambodia,1
59,North Macedonia,1
60,San Marino,1
61,Nepal,1
62,Sri Lanka,1
63,Afghanistan,1
64,Nigeria,1
65,Belarus,1
66,Belgium,1
