,city of the United States,"Number of resident population in 1,000"
0,"New York city, New York",8336.82
1,"Los Angeles city, California",3979.58
2,"Chicago city, Illinois",2693.98
3,"Houston city, Texas",2320.27
4,"Phoenix city, Arizona",1680.99
5,"Philadelphia city, Pennsylvania",1584.06
6,"San Antonio city, Texas",1547.25
7,"San Diego city, California",1423.85
8,"Dallas city, Texas",1343.57
9,"San Jose city, California",1021.8
10,"Austin city, Texas",978.91
11,"Jacksonville city, Florida",911.51
12,"Fort Worth city, Texas",909.59
13,"Columbus city, Ohio",898.55
14,"Charlotte city, North Carolina",885.71
15,"San Francisco city, California",881.55
16,"Indianapolis city (balance), Indiana",876.38
17,"Seattle city, Washington",753.68
18,"Denver city, Colorado",727.21
19,"Washington city, District of Columbia",705.75
20,"Boston city, Massachusetts",692.6
21,"El Paso city, Texas",681.73
22,"Nashville-Davidson metropolitan government (balance), Tennessee",670.82
23,"Detroit city, Michigan",670.03
24,"Oklahoma City city, Oklahoma",655.06
