,Month,Index (2015=100)
0,Jul 20,111.1
1,Jun 20,112.0
2,May 20,106.6
3,Apr 20,90.0
4,Mar 20,101.6
5,Feb 20,112.4
6,Jan 20,111.7
7,Dec 19,110.6
8,Nov 19,111.6
9,Oct 19,110.5
10,Sep 19,110.4
11,Aug 19,110.6
12,Jul 19,110.0
13,Jun 19,110.5
14,May 19,109.3
15,Apr 19,109.9
16,Mar 19,109.6
17,Feb 19,109.3
18,Jan 19,108.7
19,Dec 18,108.0
20,Nov 18,108.7
21,Oct 18,108.1
22,Sep 18,107.2
23,Aug 18,107.5
24,Jul 18,107.1
25,Jun 18,107.3
26,May 18,107.6
27,Apr 18,107.0
28,Mar 18,106.7
29,Feb 18,105.8
30,Jan 18,105.9
31,Dec 17,106.7
32,Nov 17,106.6
33,Oct 17,104.9
34,Sep 17,106.3
35,Aug 17,104.9
36,Jul 17,105.2
37,Jun 17,105.0
38,May 17,105.0
39,Apr 17,104.2
40,Mar 17,104.7
41,Feb 17,103.6
42,Jan 17,103.5
43,Dec 16,103.3
44,Nov 16,102.8
45,Oct 16,103.7
46,Sep 16,102.1
47,Aug 16,102.3
48,Jul 16,102.3
49,Jun 16,101.6
50,May 16,101.8
51,Apr 16,101.4
52,Mar 16,101.2
53,Feb 16,101.7
54,Jan 16,101.5
55,Dec 15,101.4
56,Nov 15,99.9
57,Oct 15,100.6
58,Sep 15,100.4
59,Aug 15,100.4
60,Jul 15,100.6
61,Jun 15,100.0
62,May 15,99.9
63,Apr 15,99.6
64,Mar 15,99.0
65,Feb 15,99.0
66,Jan 15,99.1
